image_id,objects_count,od_time,depth_time,clustering_time,silhouette_score,clustering_inertia
test (1),8,1.1698613166809082,0.358107328414917,0.020944833755493164,0.5641677131621854,746526.2384476811
test (10),8,0.9879310131072998,0.2882235050201416,0.019946813583374023,0.4977972898986179,8886955.469405277
test (100),10,0.9516065120697021,0.3022036552429199,0.020456790924072266,0.6652734214611956,568194.6029602496
test (11),14,0.9340164661407471,0.3201439380645752,0.02139568328857422,0.5472850348698725,5822970.929886309
test (12),9,1.0406434535980225,0.32010722160339355,0.022939443588256836,0.5863419834562218,1431537.9629516602
test (13),9,0.9165043830871582,0.3241724967956543,0.020942211151123047,0.4799863830090727,838378.7729335178
test (14),8,0.9624464511871338,0.28823041915893555,0.02290487289428711,0.41797435247323633,4265601.906800941
test (15),10,1.0192623138427734,0.3032197952270508,0.020943164825439453,0.47702131064380093,2411372.8856679825
test (16),18,0.9033389091491699,0.2961771488189697,0.024931907653808594,0.5872133726339793,2603192.3400186384
test (17),6,0.9525003433227539,0.3101387023925781,0.02091217041015625,0.7520635736259814,165322.95409658062
test (18),17,0.9264929294586182,0.319110631942749,0.02094411849975586,0.49387295424805505,2023519.757045499
test (19),15,1.0028419494628906,0.3240957260131836,0.022938251495361328,0.500487404538525,3451126.1589540024
test (2),13,0.9660427570343018,0.314159631729126,0.022935867309570312,0.6395808522232138,3919033.0915264348
test (20),9,0.9913818836212158,0.2962024211883545,0.024934053421020508,0.713711393412252,886447.7610377679
test (21),12,0.926755428314209,0.32514476776123047,0.023935556411743164,0.46613950544988053,780773.7647403772
test (22),7,0.822955846786499,0.30017805099487305,0.024932861328125,0.579356792185901,628869.8267803753
test (23),7,0.920684814453125,0.31316375732421875,0.020943880081176758,0.4128368592846941,1605880.4853023714
test (24),3,0.9206132888793945,0.3320798873901367,0.023934364318847656,0.5031108487278276,38506.78034432468
test (25),10,0.9224886894226074,0.3168010711669922,0.02094435691833496,0.5693564497988998,3565511.949400247
test (26),3,1.124932050704956,0.31017065048217773,0.016954898834228516,0.4353934167214117,486356.1726561661
test (27),7,1.1640279293060303,0.3361043930053711,0.01994633674621582,0.7546096614868738,44658.78258963255
test (28),7,1.0033159255981445,0.31313085556030273,0.019919633865356445,0.6018718588490567,8131446.843636456
test (29),4,1.3801333904266357,0.33011937141418457,0.023934602737426758,0.4331743211028969,18520.6908802978
test (3),9,1.0092999935150146,0.3121645450592041,0.023936986923217773,0.6697049559870574,1140638.0743303862
test (30),3,1.0552053451538086,0.340120792388916,0.020943164825439453,0.49838901038352396,1690529.6151457238
test (31),8,1.21254563331604,0.317152738571167,0.02292609214782715,0.6419142580521208,399437.1828965227
test (32),20,0.956472635269165,0.32778048515319824,0.020944833755493164,0.4543572505709239,1416399.506555345
test (33),4,1.0143992900848389,0.32114171981811523,0.025930404663085938,0.35102381392912324,60592.845097348974
test (34),3,1.1097612380981445,0.31618618965148926,0.01795196533203125,0.4245923613977349,43088.856809651596
test (35),3,0.9474573135375977,0.30219173431396484,0.01991748809814453,0.46399054976384163,57790.85157811526
test (36),7,0.9454398155212402,0.3111236095428467,0.02194046974182129,0.4573538167626303,1108025.900110045
test (37),3,0.9584207534790039,0.2922194004058838,0.01890730857849121,0.3283905416575959,157790.12282686192
test (38),6,0.9594511985778809,0.30720949172973633,0.020943403244018555,0.38055410224476277,938251.5082013055
test (39),9,0.9834184646606445,0.3071472644805908,0.022907018661499023,0.6771442691980222,1129396.334387659
test (4),12,1.0014667510986328,0.33310961723327637,0.02091240882873535,0.4675127055258934,869479.0134486562
test (40),6,1.0861434936523438,0.3153250217437744,0.02294158935546875,0.47697572609817107,60762.395581482895
test (41),4,0.94217848777771,0.3252866268157959,0.020943880081176758,0.43507716270735564,20346.234705279356
test (42),8,0.9250283241271973,0.33008527755737305,0.022937774658203125,0.7657073082735779,487438.67679408
test (43),6,0.9489703178405762,0.31020379066467285,0.02094435691833496,0.5333392442954111,215316.12543234124
test (44),17,0.9931538105010986,0.3550703525543213,0.02293705940246582,0.6350598963418653,6023550.901311019
test (45),14,1.0013561248779297,0.31968212127685547,0.021935224533081055,0.5779494878473794,2007733.4351829244
test (46),9,1.0271437168121338,0.3450336456298828,0.02493453025817871,0.4709653830497801,736331.0056586342
test (47),8,0.9467527866363525,0.29930901527404785,0.019948482513427734,0.3375195985785586,402847.84295158996
test (48),6,0.9464972019195557,0.3141751289367676,0.020942211151123047,0.28935804908636203,485723.0392795031
test (49),11,1.074141025543213,0.42388916015625,0.019946813583374023,0.4954531573793026,781230.4110500421
test (5),10,0.9765043258666992,0.314206600189209,0.020943164825439453,0.5661802664155406,1522123.579141037
test (50),12,1.1968483924865723,0.32265377044677734,0.020904064178466797,0.44560457622737487,1360115.234325449
test (51),6,1.0912253856658936,0.3341064453125,0.01994633674621582,0.3299035136489657,206110.71921908544
test (52),13,1.077136516571045,0.3101794719696045,0.020944595336914062,0.5055086849028699,224176.2284689471
test (53),7,0.857708215713501,0.30019617080688477,0.021907567977905273,0.6975488867602166,188301.65152101382
test (54),18,0.9316203594207764,0.306210994720459,0.020943641662597656,0.5584237701212549,1433251.8592615016
test (55),28,0.9247181415557861,0.316195011138916,0.021942615509033203,0.5787813135014224,5377342.396966392
test (56),6,0.9644210338592529,0.32915735244750977,0.021940946578979492,0.30859149944338593,201164.70670410988
test (57),15,1.0538740158081055,0.3181164264678955,0.020943880081176758,0.45337179751599205,1390699.4620705685
test (58),7,0.9475018978118896,0.2982027530670166,0.020943403244018555,0.39597107725678155,648995.983538985
test (59),10,0.930609941482544,0.3032205104827881,0.01994633674621582,0.5107566044832078,1088076.2093646396
test (6),16,0.9166996479034424,0.3207716941833496,0.019945859909057617,0.5471786889922878,4620397.6440278925
test (60),6,0.8776698112487793,0.3071463108062744,0.024933576583862305,0.5874993424798783,542228.2674400891
test (61),3,1.0112617015838623,0.3091742992401123,0.021941184997558594,0.5645242453617634,39340.53247707317
test (62),7,0.8886082172393799,0.31713318824768066,0.02193927764892578,0.4893611029887534,83282.09457953862
test (63),3,0.9929020404815674,0.3181803226470947,0.01994776725769043,0.6347746649971442,4755.175762492219
test (64),7,0.9938497543334961,0.3994171619415283,0.022902727127075195,0.4537715891150835,557457.9702070648
test (65),8,0.970557689666748,0.3131892681121826,0.02194046974182129,0.5112707477639027,1300712.9656906924
test (66),11,1.0753495693206787,0.3221395015716553,0.020913362503051758,0.7159801983188333,2865352.71080133
test (67),3,0.9720792770385742,0.3071784973144531,0.020908117294311523,0.4470291573145062,1913741.245049255
test (68),16,0.9580483436584473,0.38823509216308594,0.021942615509033203,0.5652863241148275,371029.6056314666
test (69),14,0.9824163913726807,0.3131675720214844,0.03091740608215332,0.4500163266863731,3703012.4852491906
test (7),26,0.9409985542297363,0.3839733600616455,0.021940946578979492,0.6274698223643267,8209764.918631964
test (70),12,1.0292775630950928,0.3201456069946289,0.024931669235229492,0.6142728862311396,824002.8077325932
test (71),11,1.0252087116241455,0.3121645450592041,0.022939205169677734,0.5231878996565114,1830594.5294046064
test (72),21,0.8731281757354736,0.31615471839904785,0.021941661834716797,0.5548698320780184,5090627.998048846
test (73),6,1.0373098850250244,0.3640265464782715,0.022939443588256836,0.6087502381447064,325179.3151242351
test (74),6,1.0412609577178955,0.31612253189086914,0.01991438865661621,0.5846456595001257,43301.32412110666
test (75),11,0.9634692668914795,0.3113095760345459,0.021938085556030273,0.41158615426565,4672026.9694843115
test (76),14,0.9948480129241943,0.3121659755706787,0.022937297821044922,0.5882141787834395,2550047.400478582
test (77),11,0.950432300567627,0.31017184257507324,0.018949031829833984,0.4724129968866308,6608610.693457687
test (78),9,1.0513279438018799,0.31119847297668457,0.018950223922729492,0.8111088200155975,1024847.7577836375
test (79),17,1.0219106674194336,0.3191659450531006,0.021941423416137695,0.4781492116850245,6489252.98266215
test (8),12,1.0774128437042236,0.32811546325683594,0.020945072174072266,0.4830815869088328,2739086.448078263
test (80),16,0.9725937843322754,0.33673834800720215,0.020944833755493164,0.5613727530802695,4203173.748829456
test (81),7,0.9534487724304199,0.30809712409973145,0.02094411849975586,0.7066503297787443,340105.720408049
test (82),10,0.9454724788665771,0.3141598701477051,0.02091193199157715,0.6832068664118698,931899.1622397946
test (83),12,0.9187183380126953,0.2982025146484375,0.02091360092163086,0.4816179214957898,3481192.0229689386
test (84),13,0.9874911308288574,0.30572962760925293,0.025899410247802734,0.6598876030058756,241880.2721109074
test (85),11,0.9444327354431152,0.3062169551849365,0.021941661834716797,0.5010528019431302,4119026.8711313237
test (86),16,0.9914543628692627,0.31862759590148926,0.02094435691833496,0.4748620915869534,2053067.9258108463
test (87),17,1.0919208526611328,0.371018648147583,0.023935556411743164,0.6600554665433349,5003322.523323181
test (88),10,1.0312294960021973,0.32825732231140137,0.021940946578979492,0.5231714403520036,2274237.639979749
test (89),10,0.9552178382873535,0.3101828098297119,0.021941184997558594,0.6585168886218433,1731893.933981623
test (9),7,0.9415462017059326,0.31316065788269043,0.024933815002441406,0.6036131422405584,1025985.80091818
test (90),12,1.0621888637542725,0.3291661739349365,0.022892475128173828,0.49624351877130585,7950370.421010346
test (91),6,0.9763915538787842,0.3261597156524658,0.01994776725769043,0.4893225732874101,1515686.5675376225
test (92),4,0.9958951473236084,0.3191044330596924,0.02194380760192871,0.36306999406281537,31878.37490116738
test (93),7,0.989386796951294,0.3510606288909912,0.020954608917236328,0.43455776396921086,567419.0005504072
test (94),11,0.9546830654144287,0.30718541145324707,0.021939754486083984,0.4252016600208302,3677656.516725417
test (95),9,0.9544525146484375,0.3121969699859619,0.027926206588745117,0.4438032654102709,2178797.122417591
test (96),7,0.9415743350982666,0.30222535133361816,0.020941495895385742,0.3787105503440707,299041.7594941497
test (97),13,0.9524283409118652,0.30814480781555176,0.021907567977905273,0.5802502121518252,5487846.227055202
test (98),9,1.0846278667449951,0.3072853088378906,0.020943403244018555,0.5495280006713849,1182808.9901197667
test (99),3,0.9564435482025146,0.29918646812438965,0.01889777183532715,0.5294774239595573,19122.91521433668
